Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD17A3HGF_061_Line_Y_500m,MOD17A3HGF_061_Sample_X_500m,MOD17A3HGF_061_Npp_500m,MOD17A3HGF_061_Npp_QC_500m,MOD17A3HGF_061_Npp_QC_500m_bitmask,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer,MOD17A3HGF_061_Npp_QC_500m_ContinuousLayer_Description
4472,4472,-0.3266832807,131.095405579,2003-01-01,h31v09,78.0,262.0,32766.0,254.0,0b11111110,0b0,Continuous
4472,4472,-0.3266832807,131.095405579,2004-01-01,h31v09,78.0,262.0,32766.0,254.0,0b11111110,0b0,Continuous
4474,4474,-0.3241797187,130.603313673,2001-01-01,h31v09,77.0,144.0,32766.0,254.0,0b11111110,0b0,Continuous
4474,4474,-0.3241797187,130.603313673,2002-01-01,h31v09,77.0,144.0,32766.0,254.0,0b11111110,0b0,Continuous
4474,4474,-0.3241797187,130.603313673,2003-01-01,h31v09,77.0,144.0,32766.0,254.0,0b11111110,0b0,Continuous
4474,4474,-0.3241797187,130.603313673,2004-01-01,h31v09,77.0,144.0,32766.0,254.0,0b11111110,0b0,Continuous
4475,4475,-0.3244478847,130.644725484,2001-01-01,h31v09,77.0,154.0,32766.0,254.0,0b11111110,0b0,Continuous
4475,4475,-0.3244478847,130.644725484,2002-01-01,h31v09,77.0,154.0,32766.0,254.0,0b11111110,0b0,Continuous
4475,4475,-0.3244478847,130.644725484,2003-01-01,h31v09,77.0,154.0,32766.0,254.0,0b11111110,0b0,Continuous
4475,4475,-0.3244478847,130.644725484,2004-01-01,h31v09,77.0,154.0,32766.0,254.0,0b11111110,0b0,Continuous
4476,4476,-0.3257394939,130.20608702,2001-01-01,h31v09,78.0,48.0,32766.0,254.0,0b11111110,0b0,Continuous
4476,4476,-0.3257394939,130.20608702,2002-01-01,h31v09,78.0,48.0,32766.0,254.0,0b11111110,0b0,Continuous
4476,4476,-0.3257394939,130.20608702,2003-01-01,h31v09,78.0,48.0,32766.0,254.0,0b11111110,0b0,Continuous
4476,4476,-0.3257394939,130.20608702,2004-01-01,h31v09,78.0,48.0,32766.0,254.0,0b11111110,0b0,Continuous
4478,4478,-0.3233487731,130.638752413,2001-01-01,h31v09,77.0,152.0,32766.0,254.0,0b11111110,0b0,Continuous
4478,4478,-0.3233487731,130.638752413,2002-01-01,h31v09,77.0,152.0,32766.0,254.0,0b11111110,0b0,Continuous
4478,4478,-0.3233487731,130.638752413,2003-01-01,h31v09,77.0,152.0,32766.0,254.0,0b11111110,0b0,Continuous
4478,4478,-0.3233487731,130.638752413,2004-01-01,h31v09,77.0,152.0,32766.0,254.0,0b11111110,0b0,Continuous
