society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ej15,Ancient Khmer,xd722,oldk1249,Old Khmer,Austroasiatic,NetPrimaryProductionPredictability,0.456690956,,,,
SCCS83,Javanese,xd751,java1254,Javanese,Austronesian,NetPrimaryProductionPredictability,0.454626764,,,,
Ig13,Aua,xd845,wuvu1239,Wuvulu-Aua,Austronesian,NetPrimaryProductionPredictability,0.454496258,,,,
Ej6,Moken,xd728,moke1242,Moken,Austronesian,NetPrimaryProductionPredictability,0.453492656,,,,
Ie6,Waropen,xd820,waro1242,Waropen,Austronesian,NetPrimaryProductionPredictability,0.453342241,,,,
Ia4,Subanun,xd744,cent2089,Central Subanen,Austronesian,NetPrimaryProductionPredictability,0.452092471,,,,
Ic6,Tanimbarese,xd768,sela1259,Selaru,Austronesian,NetPrimaryProductionPredictability,0.451633716,,,,
Ie4,Wogeo,xd818,woge1237,Wogeo,Austronesian,NetPrimaryProductionPredictability,0.451140794,,,,
Eh8,Sakalava,xd694,saka1291,West Malagasy Sakalava,Austronesian,NetPrimaryProductionPredictability,0.449883514,,,,
Ic1,Macassarese,xd759,maka1311,Makasar,Austronesian,NetPrimaryProductionPredictability,0.449202511,,,,
Ih13,Ranon,xd866,nort2839,North Ambrym,Austronesian,NetPrimaryProductionPredictability,0.444508274,,,,
Ig8,Simboese,xd860,simb1256,Simbo,Austronesian,NetPrimaryProductionPredictability,0.443292671,,,,
Ia15,Manobo,xd738,agus1235,Agusan Manobo,Austronesian,NetPrimaryProductionPredictability,0.442930255,,,,
Ih4,Lau,xd870,laua1243,Lauan,Austronesian,NetPrimaryProductionPredictability,0.442491409,,,,
Ie34,Bgu,xd812,bong1287,Bonggo,Austronesian,NetPrimaryProductionPredictability,0.441636071,,,,
Ih1,Mota,xd862,mota1237,Mota,Austronesian,NetPrimaryProductionPredictability,0.441194312,,,,
Eh9,Antaisaka,xd695,tesa1236,Tesaka Malagasy,Austronesian,NetPrimaryProductionPredictability,0.441019391,,,,
If6,Yapese,xd837,yape1248,Yapese,Austronesian,NetPrimaryProductionPredictability,0.438339105,,,,
SCCS110,Yapese,xd837,yape1248,Yapese,Austronesian,NetPrimaryProductionPredictability,0.438339105,,,,
SCCS113,Atayal,xd732,atay1247,Atayal,Austronesian,NetPrimaryProductionPredictability,0.438016682,,,,
Ic3,Belu,xd765,tetu1245,Tetum,Austronesian,NetPrimaryProductionPredictability,0.437989263,,,,
Ie10,Motu,xd786,motu1246,Motu,Austronesian,NetPrimaryProductionPredictability,0.43666766,,,,
Ie22,Mekeo,xd799,meke1243,Mekeo,Austronesian,NetPrimaryProductionPredictability,0.43666766,,,,
Ij3,Marquesans,xd892,nort2845,North Marquesan,Austronesian,NetPrimaryProductionPredictability,0.436386739,,,,
SCCS105,Marquesans,xd892,nort2845,North Marquesan,Austronesian,NetPrimaryProductionPredictability,0.436386739,,,,
Ii13,Uveans,xd879,wall1257,East Uvean,Austronesian,NetPrimaryProductionPredictability,0.436366655,,,,
Ej4,Annamese,xd726,viet1252,Vietnamese,Austroasiatic,NetPrimaryProductionPredictability,0.435523891,,,,
Ic9,Sumbanese,xd771,kamb1299,Kambera,Austronesian,NetPrimaryProductionPredictability,0.43207651,,,,
If5,Ponapeans,xd836,pohn1238,Pohnpeian,Austronesian,NetPrimaryProductionPredictability,0.431795589,,,,
If15,Carolinians,xd830,caro1242,Carolinian,Austronesian,NetPrimaryProductionPredictability,0.429806143,,,,
If8,Chamorro,xd839,cham1312,Chamorro,Austronesian,NetPrimaryProductionPredictability,0.429806143,,,,
Ig18,Kwaio,xd850,kwai1243,Kwaio,Austronesian,NetPrimaryProductionPredictability,0.429717139,,,,
Ih10,Tannese,xd863,sout2869,Southwest Tanna,Austronesian,NetPrimaryProductionPredictability,0.429611138,,,,
B3,Anak Dalam,xd757,kubu1239,Kubu,Austronesian,NetPrimaryProductionPredictability,0.429179802,,,,
Ig15,Bakovi,xd847,bola1250,Bola,Austronesian,NetPrimaryProductionPredictability,0.429021877,,,,
Ib4,Toba Batak,xd753,bata1289,Batak Toba,Austronesian,NetPrimaryProductionPredictability,0.428179113,,,,
Ig7,Lakalai,xd859,naka1262,Nakanai,Austronesian,NetPrimaryProductionPredictability,0.427288846,,,,
Ig3,Kurtatchi,xd855,tinp1237,Tinputz,Austronesian,NetPrimaryProductionPredictability,0.427162937,,,,
Ej10,Rade,xd717,rade1240,Rade,Austronesian,NetPrimaryProductionPredictability,0.427015435,,,,
SCCS74,Rade,xd717,rade1240,Rade,Austronesian,NetPrimaryProductionPredictability,0.427015435,,,,
Ib2,Javanese,xd751,java1254,Javanese,Austronesian,NetPrimaryProductionPredictability,0.426467675,,,,
Ii1,American Samoans,xd876,samo1305,Samoan,Austronesian,NetPrimaryProductionPredictability,0.424845067,,,,
Ie28,Busama,xd805,buga1250,Bugawac,Austronesian,NetPrimaryProductionPredictability,0.422783788,,,,
Ig2,Trobriands,xd852,kili1267,Kilivila,Austronesian,NetPrimaryProductionPredictability,0.422396866,,,,
B16,Mlabri,xd909,mlab1235,Mlabri,Austroasiatic,NetPrimaryProductionPredictability,0.422221945,,,,
Ia1,Atayal,xd732,atay1247,Atayal,Austronesian,NetPrimaryProductionPredictability,0.422115945,,,,
Ia10,Bunun,xd733,bunu1267,Bunun,Austronesian,NetPrimaryProductionPredictability,0.422115945,,,,
Ej13,Muong,xd720,muon1246,Muong,Austroasiatic,NetPrimaryProductionPredictability,0.421913605,,,,
Ie29,Manam,xd806,mana1295,Manam,Austronesian,NetPrimaryProductionPredictability,0.421729023,,,,
Ih9,Santa Cruz Islanders,xd875,natu1246,Natügu,Austronesian,NetPrimaryProductionPredictability,0.421489604,,,,
Ej14,Senoi,xd721,sema1266,Semai,Austroasiatic,NetPrimaryProductionPredictability,0.41968474,,,,
If11,Kosraeans,xd826,kosr1238,Kosraean,Austronesian,NetPrimaryProductionPredictability,0.419325236,,,,
Ih12,Eromangans,xd865,siee1239,Sie,Austronesian,NetPrimaryProductionPredictability,0.418151136,,,,
Ii14,Upolu Samoans,xd880,samo1305,Samoan,Austronesian,NetPrimaryProductionPredictability,0.417801294,,,,
SCCS106,Upolu Samoans,xd880,samo1305,Samoan,Austronesian,NetPrimaryProductionPredictability,0.417801294,,,,
Ih11,Epi,xd864,lame1260,Lamenu,Austronesian,NetPrimaryProductionPredictability,0.414278244,,,,
