society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
SCCS153,Aztec,xd1301,clas1250,Classical Nahuatl,Uto-Aztecan,MonthlyMeanNetPrimaryProduction,2.899018034,,,,
Ej10,Rade,xd717,rade1240,Rade,Austronesian,MonthlyMeanNetPrimaryProduction,2.899783844,,,,
SCCS74,Rade,xd717,rade1240,Rade,Austronesian,MonthlyMeanNetPrimaryProduction,2.899783844,,,,
Af15,Kpelle,xd192,libe1247,Liberia Kpelle,Mande,MonthlyMeanNetPrimaryProduction,2.89979002,,,,
Ic6,Tanimbarese,xd768,sela1259,Selaru,Austronesian,MonthlyMeanNetPrimaryProduction,2.903823758,,,,
SCCS113,Atayal,xd732,atay1247,Atayal,Austronesian,MonthlyMeanNetPrimaryProduction,2.907317914,,,,
Ig2,Trobriands,xd852,kili1267,Kilivila,Austronesian,MonthlyMeanNetPrimaryProduction,2.912271492,,,,
Af56,Ngere,xd237,dann1241,Dan,Mande,MonthlyMeanNetPrimaryProduction,2.912994071,,,,
SCCS93,Kimam,xd794,kima1246,Kimaama,Kolopom,MonthlyMeanNetPrimaryProduction,2.918780879,,,,
Ii12,Tongans,xd878,tong1325,Tonga (Tonga Islands),Austronesian,MonthlyMeanNetPrimaryProduction,2.923310894,,,,
Ig3,Kurtatchi,xd855,tinp1237,Tinputz,Austronesian,MonthlyMeanNetPrimaryProduction,2.925366307,,,,
Ie35,Iatmul,xd813,iatm1242,Iatmul,Ndu,MonthlyMeanNetPrimaryProduction,2.925704051,,,,
Ic13,Kodi,xd763,kodi1247,Kodi-Gaura,Austronesian,MonthlyMeanNetPrimaryProduction,2.928659656,,,,
Ie32,Sio,xd810,sioo1240,Sio,Austronesian,MonthlyMeanNetPrimaryProduction,2.931923172,,,,
Ae50,Bamum,xd172,bamu1253,Bamun,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.935227273,,,,
Ae56,Nsaw,xd178,lamn1239,Lamnso',Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.935227273,,,,
Ae57,Nsungli,xd179,limb1268,Limbum,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.935227273,,,,
B186,Yurok,xd1101,yuro1248,Yurok,Algic,MonthlyMeanNetPrimaryProduction,2.93826581,,,,
SCCS134,Yurok,xd1101,yuro1248,Yurok,Algic,MonthlyMeanNetPrimaryProduction,2.93826581,,,,
WNAI36,Yurok,xd1101,yuro1248,Yurok,Algic,MonthlyMeanNetPrimaryProduction,2.93826581,,,,
Af5,Mende,xd230,mend1266,Mende (Sierra Leone),Mande,MonthlyMeanNetPrimaryProduction,2.947801383,,,,
Ie15,Abelam,xd791,ambu1247,Ambulas,Ndu,MonthlyMeanNetPrimaryProduction,2.955965909,,,,
Ic3,Belu,xd765,tetu1245,Tetum,Austronesian,MonthlyMeanNetPrimaryProduction,2.956274704,,,,
B60,Aka,xd923,bamb1264,Bambenzele,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.973430458,,,,
Sf4,U'wa,xd1377,cent2150,Central Tunebo,Chibchan,MonthlyMeanNetPrimaryProduction,2.974944417,,,,
Ad29,Hadimu,xd97,pemb1239,Pemba,Atlantic-Congo,MonthlyMeanNetPrimaryProduction,2.980316558,,,,
